id,work_year,experience_level,experience_label,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
1,,EN,Entry-level,FT,Data Science Consultant,54000,EUR,64369,DE,50,DE,L
2,2020,SE,Senior-level,FT,Data Scientist,60000,EUR,68428,GR,100,US,L
3,,EX,Executive-level,FT,Head of Data Science,85000,USD,85000,RU,0,RU,M
4,,EX,Executive-level,FT,Head of Data,230000,USD,230000,RU,50,RU,L
5,,EN,Entry-level,FT,Machine Learning Engineer,125000,USD,125000,US,100,US,S
6,,SE,Senior-level,FT,Data Analytics Manager,120000,USD,120000,US,100,US,M
7,2020,MI,Mid-level,FT,Research Scientist,450000,USD,450000,US,0,US,M
8,2020,MI,Mid-level,FT,Data Analyst,41000,EUR,46759,FR,50,FR,L
9,2020,MI,Mid-level,FT,Data Engineer,65000,EUR,74130,AT,50,AT,L
10,,SE,Senior-level,FT,Data Science Engineer,159500,CAD,127543,CA,50,CA,L
11,,SE,Senior-level,FT,Manager Data Science,144000,USD,144000,US,100,US,L
12,,EN,Entry-level,FT,Data Scientist,13400,USD,13400,UA,100,UA,L
13,,MI,Mid-level,FT,Data Scientist,95000,CAD,75966,CA,100,CA,L
14,,MI,Mid-level,FT,Data Scientist,150000,USD,150000,US,100,US,M
15,2020,MI,Mid-level,FT,Data Science Consultant,103000,USD,103000,US,100,US,L
16,,SE,Senior-level,FT,Data Engineering Manager,153000,USD,153000,US,100,US,L
17,,MI,Mid-level,FT,Data Engineer,90000,USD,90000,US,100,US,L
18,,EN,Entry-level,FT,Data Analyst,90000,USD,90000,US,100,US,S
19,,EN,Entry-level,FT,Data Analyst,60000,USD,60000,US,100,US,S
20,,MI,Mid-level,FT,Data Scientist,50000,USD,50000,NG,100,NG,L
21,,EN,Entry-level,PT,AI Scientist,12000,USD,12000,PK,100,US,M
22,,MI,Mid-level,PT,3D Computer Vision Researcher,400000,INR,5423,IN,50,IN,M
23,,MI,Mid-level,CT,ML Engineer,270000,USD,270000,US,100,US,L
24,,MI,Mid-level,FT,Applied Data Scientist,68000,CAD,54376,GB,50,CA,L
25,,MI,Mid-level,FT,Machine Learning Engineer,40000,EUR,47681,ES,100,ES,S
26,,EX,Executive-level,FT,Director of Data Science,130000,EUR,154963,IT,100,PL,L
27,,MI,Mid-level,FT,Data Engineer,110000,PLN,28801,PL,100,PL,L
28,,MI,Mid-level,FT,Data Analytics Engineer,110000,USD,110000,US,100,US,L
29,,EN,Entry-level,FT,Research Scientist,60000,GBP,83000,GB,50,GB,L
